,subjID,gender,age,correct,RT,MT,sideCorrect,sideResp,condition,block,ratioSm,ratioLg,ratioDist,L_num,L_den,R_num,R_den,ratioNum,order,trial,experiment
0,RA1,1,,1.0,1024.0,561.0,1.0,1.0,Congruent,90,0.5,0.7,200.0,14.0,20.0,1.0,2.0,0.07,9050,0,disc
1,RA1,1,,1.0,1847.0,421.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,6.0,12.0,7.0,10.0,0.86,9050,1,disc
2,RA1,1,,1.0,908.0,400.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,9.0,18.0,20.0,25.0,0.45,9050,2,disc
3,RA1,1,,1.0,1073.0,601.0,2.0,2.0,Congruent,90,0.2,0.5,300.0,2.0,10.0,4.0,8.0,0.5,9050,3,disc
4,RA1,1,,1.0,840.0,422.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,5.0,10.0,21.0,30.0,0.24,9050,4,disc
5,RA1,1,,1.0,1520.0,400.0,2.0,2.0,Congruent,90,0.3,0.4,100.0,9.0,30.0,10.0,25.0,0.9,9050,5,disc
6,RA1,1,,1.0,1151.0,401.0,1.0,1.0,Congruent,90,0.5,0.7,200.0,14.0,20.0,8.0,16.0,0.57,9050,6,disc
7,RA1,1,,0.0,1224.0,400.0,2.0,1.0,Incongruent,90,0.5,0.6,100.0,7.0,14.0,3.0,5.0,0.43,9050,7,disc
8,RA1,1,,1.0,930.0,361.0,2.0,2.0,Congruent,90,0.2,0.4,200.0,5.0,25.0,12.0,30.0,0.42,9050,8,disc
9,RA1,1,,1.0,1095.0,460.0,1.0,1.0,Congruent,90,0.2,0.4,200.0,8.0,20.0,5.0,25.0,0.62,9050,9,disc
10,RA1,1,,0.0,895.0,438.0,1.0,2.0,Incongruent,90,0.63,0.83,200.0,10.0,12.0,19.0,30.0,0.53,9050,10,disc
11,RA1,1,,1.0,965.0,560.0,2.0,2.0,Congruent,90,0.2,0.5,300.0,2.0,10.0,4.0,8.0,0.5,9050,11,disc
12,RA1,1,,1.0,822.0,300.0,2.0,2.0,Congruent,90,0.3,0.5,200.0,3.0,10.0,14.0,28.0,0.21,9050,12,disc
13,RA1,1,,1.0,1001.0,339.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,4.0,8.0,8.0,10.0,0.5,9050,13,disc
14,RA1,1,,1.0,1188.0,500.0,1.0,1.0,Congruent,90,0.4,0.5,100.0,14.0,28.0,12.0,30.0,0.86,9050,14,disc
15,RA1,1,,1.0,1192.0,621.0,1.0,1.0,Congruent,90,0.1,0.3,200.0,3.0,10.0,2.0,20.0,0.67,9050,15,disc
16,RA1,1,,0.0,1331.0,578.0,1.0,2.0,Congruent,90,0.5,0.6,100.0,3.0,5.0,1.0,2.0,0.33,9050,16,disc
17,RA1,1,,1.0,1131.0,600.0,1.0,1.0,Incongruent,90,0.5,0.8,300.0,8.0,10.0,9.0,18.0,0.89,9050,17,disc
18,RA1,1,,1.0,1134.0,400.0,1.0,1.0,Congruent,90,0.2,0.5,300.0,13.0,26.0,1.0,5.0,0.08,9050,18,disc
19,RA1,1,,1.0,1181.0,520.0,1.0,1.0,Congruent,90,0.2,0.3,100.0,3.0,10.0,1.0,5.0,0.33,9050,19,disc
20,RA1,1,,1.0,2090.0,401.0,2.0,2.0,Congruent,90,0.5,0.6,100.0,2.0,4.0,15.0,25.0,0.13,9050,20,disc
21,RA1,1,,1.0,1397.0,400.0,1.0,1.0,Congruent,90,0.5,0.6,100.0,6.0,10.0,5.0,10.0,0.83,9050,21,disc
22,RA1,1,,1.0,1097.0,360.0,1.0,1.0,Congruent,90,0.4,0.5,100.0,16.0,32.0,4.0,10.0,0.25,9050,22,disc
23,RA1,1,,1.0,1435.0,400.0,2.0,2.0,Incongruent,90,0.3,0.5,200.0,9.0,30.0,7.0,14.0,0.78,9050,23,disc
24,RA1,1,,1.0,1341.0,200.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,4.0,8.0,8.0,10.0,0.5,9050,24,disc
25,RA1,1,,1.0,971.0,501.0,1.0,1.0,Congruent,90,0.5,0.8,300.0,24.0,30.0,13.0,26.0,0.54,9050,25,disc
26,RA1,1,,1.0,832.0,360.0,2.0,2.0,Congruent,90,0.3,0.5,200.0,3.0,10.0,14.0,28.0,0.21,9050,26,disc
27,RA1,1,,1.0,1070.0,259.0,2.0,2.0,Congruent,90,0.67,0.97,300.0,16.0,24.0,29.0,30.0,0.55,9050,27,disc
28,RA1,1,,0.0,1009.0,440.0,2.0,1.0,Congruent,90,0.4,0.5,100.0,8.0,20.0,9.0,18.0,0.89,9050,28,disc
29,RA1,1,,1.0,776.0,400.0,2.0,2.0,Congruent,90,0.5,0.8,300.0,3.0,6.0,8.0,10.0,0.38,9050,29,disc
30,RA1,1,,1.0,925.0,322.0,2.0,2.0,Congruent,90,0.5,0.7,200.0,11.0,22.0,21.0,30.0,0.52,9050,30,disc
31,RA1,1,,0.0,4973.0,400.0,1.0,2.0,Congruent,90,0.4,0.5,100.0,6.0,12.0,4.0,10.0,0.67,9050,31,disc
