,Cat.,Subject,Num,Den,Ref.,RL|NL,RL|NS,RL|DL,RL|DS,n (x1000)
249,E,Human voice,Q25 Freq.,Q75 Freq.,288,0.901353496,0.098646504,0.54973865,0.45026135,4000
250,E,Human voice,Median Freq.,Q75 Freq.,288,0.78299828,0.21700122,0.555808263,0.444191237,4000
251,E,Human voice,Mean Freq.,Q75 Freq.,288,0.77270273,0.22729727,0.531847357,0.468152643,4000
252,E,Human voice,Mean fun,Max fun,288,0.857455966,0.142544034,0.443117811,0.556882189,4000
253,E,Human voice,Mean dom,Max dom,288,0.476859045,0.52313595,0.3096882,0.69030679,4000
254,E,Human voice,Min fun,Max fun,288,0.908507722,0.091492278,0.549018855,0.450981145,4000
255,E,Human voice,Min dom,Max dom,288,0.785663666,0.213993365,0.270262551,0.729472884,4000
84,C,DOTA videogame,Wins,Total matches,260,0.633325478,0.310913478,0.505674301,0.44228827,1803.65
6,C,AirBnB,Reviews per Month,Total Reviews,245,0.611682545,0.383848632,0.385083727,0.610247797,4000
7,C,AirBnB,Min. nights,Max. nights,245,0.71336494,0.282901589,0.093807893,0.90205755,4000
10,C,Amazon reviews,Helpfulness,Helpfulness,247,0.796171715,0.164604483,0.645760837,0.317397314,1982.46
11,C,Anime reviews,# of scores,Total members,248,0.754100986,0.24589351,0.707930145,0.292064351,4000
20,C,Baseball,Doubles,Total hits,250,0.537371438,0.455950759,0.439982104,0.553579096,2569.61
21,C,Baseball,Triples,Total hits,250,0.664020541,0.333408083,0.293516715,0.704543853,714.02
34,C,Book ratings,Rating 1,Total ratings,253,0.756149116,0.243850383,0.505282259,0.494717241,4000
35,C,Book ratings,Rating 2,Total ratings,253,0.704104557,0.295894943,0.502183592,0.497815908,4000
36,C,Book ratings,Rating 3,Total ratings,253,0.608652405,0.391347595,0.47141204,0.52858796,4000
37,C,Book ratings,Rating 4,Total ratings,253,0.542687714,0.457312286,0.473191084,0.526808916,4000
38,C,Book ratings,Rating 5,Total ratings,253,0.664794141,0.335205859,0.542598927,0.457401073,4000
39,C,Movies,Budget,Revenue,254,0.606093378,0.393901494,0.410616721,0.589378219,3560.77
69,C,Bio,Citations,Publications,Google Sch.,0.75478064,0.245213811,0.564515232,0.435479205,361.2
70,C,Various,Citations,Publications,Google Sch.,0.795534114,0.204451185,0.621339912,0.378645349,8031.56
71,C,Econ,Citations,Publications,Google Sch.,0.799128409,0.200867085,0.623250686,0.376744796,444.89
72,C,Math,Citations,Publications,Google Sch.,0.829279515,0.170666981,0.674932342,0.325013961,187.49
73,C,Phil,Citations,Publications,Google Sch.,0.808738848,0.191236438,0.632296829,0.367678394,162.41
