"","HSV hue","Img. cat.","Num","Den","Ref.","RL|NL","RL|NS","RL|DL","RL|DS","n (x1000)"
"1","<60","airplanes-101_0","Brightness hue","Total bright",1,0.923444931163955,0.0765550688360451,0.426282853566959,0.573717146433041,319.6
"2","61-160","airplanes-101_1","Brightness hue","Total bright",4,0.943186951066499,0.0568130489335006,0.38315751832648,0.616842481673521,318.8
"3","161-250","airplanes-101_2","Brightness hue","Total bright",7,0.93507058504568,0.0649294149543199,0.594314105029539,0.405685894970461,317.21
"4",">251","airplanes-101_3","Brightness hue","Total bright",10,0.94079495587979,0.0592050441202098,0.443724157597072,0.556275842402928,315.62
"5","<60","ak47_0","Brightness hue","Total bright",13,0.66989269934778,0.33010730065222,0.49211024616032,0.50788975383968,4.75
"6","61-160","ak47_1","Brightness hue","Total bright",16,0.813788659793814,0.186211340206186,0.534149484536082,0.465850515463918,4.66
"7","161-250","ak47_2","Brightness hue","Total bright",19,0.798245614035088,0.201754385964912,0.494298245614035,0.505701754385965,4.56
"8",">251","ak47_3","Brightness hue","Total bright",22,0.804768041237113,0.195231958762887,0.472079037800687,0.527920962199313,4.66
"9","<60","american-flag_0","Brightness hue","Total bright",25,0.806056701030928,0.193943298969072,0.492053264604811,0.507946735395189,4.66
"10","61-160","american-flag_1","Brightness hue","Total bright",28,0.851973684210526,0.148026315789474,0.510964912280702,0.489035087719298,4.56
"11","161-250","american-flag_2","Brightness hue","Total bright",31,0.841666666666667,0.158333333333333,0.525657894736842,0.474342105263158,4.56
"12",">251","american-flag_3","Brightness hue","Total bright",34,0.791228070175439,0.208771929824561,0.505482456140351,0.494517543859649,4.56
"13","<60","backpack_0","Brightness hue","Total bright",37,0.704459161147903,0.295540838852097,0.492450331125828,0.507549668874172,11.32
"14","61-160","backpack_1","Brightness hue","Total bright",40,0.772980132450331,0.227019867549669,0.414834437086093,0.585165562913907,11.32
"15","161-250","backpack_2","Brightness hue","Total bright",43,0.852980132450331,0.147019867549669,0.522384105960265,0.477615894039735,11.32
"16",">251","backpack_3","Brightness hue","Total bright",46,0.825077262693157,0.174922737306843,0.490419426048565,0.509580573951435,11.32
"17","<60","baseball-bat_0","Brightness hue","Total bright",49,0.776902887139108,0.223097112860892,0.595300587426572,0.404699412573428,8
"18","61-160","baseball-bat_1","Brightness hue","Total bright",52,0.814984126984127,0.185015873015873,0.402539682539683,0.597460317460317,7.88
"19","161-250","baseball-bat_2","Brightness hue","Total bright",55,0.852387096774194,0.147612903225806,0.416258064516129,0.583741935483871,7.75
"20",">251","baseball-bat_3","Brightness hue","Total bright",58,0.841650793650794,0.158349206349206,0.414730158730159,0.585269841269841,7.88
"21","<60","baseball-glove_0","Brightness hue","Total bright",61,0.684960470674756,0.315039529325244,0.569038426181283,0.430961573818717,10.88
"22","61-160","baseball-glove_1","Brightness hue","Total bright",64,0.804559661702519,0.195440338297481,0.414874057731201,0.585125942268799,10.88
"23","161-250","baseball-glove_2","Brightness hue","Total bright",67,0.806634982760227,0.193365017239773,0.401453732177803,0.598546267822197,10.73
"24",">251","baseball-glove_3","Brightness hue","Total bright",70,0.808236808236808,0.191763191763192,0.458356315499173,0.541643684500827,10.88
"25","<60","basketball-hoop_0","Brightness hue","Total bright",73,0.802496878901373,0.195006242197253,0.488639200998752,0.508863920099875,4
"26","61-160","basketball-hoop_1","Brightness hue","Total bright",76,0.829131652661064,0.170868347338936,0.443417366946779,0.556582633053221,3.57
"27","161-250","basketball-hoop_2","Brightness hue","Total bright",79,0.834733893557423,0.165266106442577,0.54593837535014,0.45406162464986,3.57
"28",">251","basketball-hoop_3","Brightness hue","Total bright",82,0.82436974789916,0.17563025210084,0.482913165266106,0.517086834733894,3.57
"29","<60","bat_0","Brightness hue","Total bright",85,0.728122192273136,0.271877807726864,0.54052111410602,0.45947888589398,5.57
"30","61-160","bat_1","Brightness hue","Total bright",88,0.84260642270351,0.15739357729649,0.518670649738611,0.481329350261389,5.36
"31","161-250","bat_2","Brightness hue","Total bright",91,0.842375785265563,0.157624214734437,0.456120312202551,0.543879687797449,5.25
