"","HSV hue","Img. cat.","Num","Den","Ref.","RL|NL","RL|NS","RL|DL","RL|DS","n (x1000)"
"1","<60","airplanes-101_0","Pixels hue","Total pixels",2,0.951206538336379,0.0487934616636211,0.484400096432921,0.515599903567079,319.6
"2","61-160","airplanes-101_1","Pixels hue","Total pixels",5,0.960331128112952,0.0396688718870475,0.499001864441892,0.500998135558108,318.8
"3","161-250","airplanes-101_2","Pixels hue","Total pixels",8,0.946066253893393,0.0539337461066065,0.492673478465232,0.507326521534768,317.21
"4",">251","airplanes-101_3","Pixels hue","Total pixels",11,0.964806009889692,0.0351939901103081,0.493616225282094,0.506383774717906,315.62
"5","<60","ak47_0","Pixels hue","Total pixels",14,0.672627814012203,0.327372185987797,0.495773457311919,0.504226542688081,4.75
"6","61-160","ak47_1","Pixels hue","Total pixels",17,0.83952738990333,0.16047261009667,0.563969795037756,0.436030204962244,4.66
"7","161-250","ak47_2","Pixels hue","Total pixels",20,0.832675438596491,0.167324561403509,0.505395287381634,0.494604712618366,4.56
"8",">251","ak47_3","Pixels hue","Total pixels",23,0.822556390977444,0.177443609022556,0.482200647249191,0.517799352750809,4.66
"9","<60","american-flag_0","Pixels hue","Total pixels",26,0.803264604810997,0.196735395189003,0.489128094725511,0.510871905274489,4.66
"10","61-160","american-flag_1","Pixels hue","Total pixels",29,0.862719298245614,0.137280701754386,0.51373928335898,0.48626071664102,4.56
"11","161-250","american-flag_2","Pixels hue","Total pixels",32,0.823026315789474,0.176973684210526,0.515278083095186,0.484721916904814,4.56
"12",">251","american-flag_3","Pixels hue","Total pixels",35,0.78969298245614,0.21030701754386,0.510661683886569,0.489338316113432,4.56
"13","<60","backpack_0","Pixels hue","Total pixels",38,0.723066054397739,0.276933945602261,0.470692560078035,0.529307439921965,11.32
"14","61-160","backpack_1","Pixels hue","Total pixels",41,0.813846697280113,0.186153302719887,0.427950696107121,0.572049303892879,11.32
"15","161-250","backpack_2","Pixels hue","Total pixels",44,0.853774834437086,0.146136865342163,0.531080961248559,0.468830362685111,11.32
"16",">251","backpack_3","Pixels hue","Total pixels",47,0.842649006622517,0.157350993377483,0.515296621441873,0.484703378558127,11.32
"17","<60","baseball-bat_0","Pixels hue","Total pixels",50,0.721284839395076,0.278715160604924,0.486329113924051,0.513670886075949,8
"18","61-160","baseball-bat_1","Pixels hue","Total pixels",53,0.824888888888889,0.175111111111111,0.436068947774633,0.563931052225367,7.88
"19","161-250","baseball-bat_2","Pixels hue","Total pixels",56,0.857548387096774,0.142451612903226,0.469734605830827,0.530265394169173,7.75
"20",">251","baseball-bat_3","Pixels hue","Total pixels",59,0.855473710947422,0.144526289052578,0.498842294828917,0.501157705171083,7.88
"21","<60","baseball-glove_0","Pixels hue","Total pixels",62,0.653612796469939,0.346387203530061,0.498649529663779,0.50135047033622,10.88
"22","61-160","baseball-glove_1","Pixels hue","Total pixels",65,0.815223386651958,0.184776613348042,0.425351587966844,0.574648412033156,10.88
"23","161-250","baseball-glove_2","Pixels hue","Total pixels",68,0.843988816402609,0.15601118359739,0.449830252734817,0.550169747265183,10.73
"24",">251","baseball-glove_3","Pixels hue","Total pixels",71,0.852059580728209,0.147940419271791,0.518114929682407,0.481885070317593,10.88
"25","<60","basketball-hoop_0","Pixels hue","Total pixels",74,0.816433566433566,0.181068931068931,0.513263263263263,0.484234234234234,4
