"","HSV hue","Img. cat.","Num","Den","Ref.","RL|NL","RL|NS","RL|DL","RL|DS","n (x1000)"
"1","<60","airplanes-101_0","Saturation hue","Total saturation",3,0.905857027087069,0.0941429729129315,0.40116395494368,0.59883604505632,319.6
"2","61-160","airplanes-101_1","Saturation hue","Total saturation",6,0.914805787936675,0.0851942120633248,0.360127477642793,0.639872522357207,318.8
"3","161-250","airplanes-101_2","Saturation hue","Total saturation",9,0.926003921741707,0.0739960782582927,0.602668297573186,0.397331702426814,317.21
"4",">251","airplanes-101_3","Saturation hue","Total saturation",12,0.923078872909201,0.0769211270907991,0.467661549672861,0.532338450327139,315.62
"5","<60","ak47_0","Saturation hue","Total saturation",15,0.662156357388316,0.337843642611684,0.486898625429553,0.513101374570447,4.66
"6","61-160","ak47_1","Saturation hue","Total saturation",18,0.814647766323024,0.185352233676976,0.548539518900344,0.451460481099656,4.66
"7","161-250","ak47_2","Saturation hue","Total saturation",21,0.787719298245614,0.212280701754386,0.442543859649123,0.557456140350877,4.56
"8",">251","ak47_3","Saturation hue","Total saturation",24,0.787800687285223,0.212199312714777,0.465850515463918,0.534149484536082,4.66
"9","<60","american-flag_0","Saturation hue","Total saturation",27,0.829824561403509,0.170175438596491,0.467543859649123,0.532456140350877,4.56
"10","61-160","american-flag_1","Saturation hue","Total saturation",30,0.872368421052632,0.127631578947368,0.423026315789474,0.576973684210526,4.56
"11","161-250","american-flag_2","Saturation hue","Total saturation",33,0.81030701754386,0.18969298245614,0.511842105263158,0.488157894736842,4.56
"12",">251","american-flag_3","Saturation hue","Total saturation",36,0.7625,0.2375,0.505701754385965,0.494298245614035,4.56
"13","<60","backpack_0","Saturation hue","Total saturation",39,0.834260485651214,0.165739514348786,0.540485651214128,0.459514348785872,11.32
"14","61-160","backpack_1","Saturation hue","Total saturation",42,0.801766004415011,0.198233995584989,0.417924944812362,0.582075055187638,11.32
"15","161-250","backpack_2","Saturation hue","Total saturation",45,0.799735099337748,0.200264900662252,0.496423841059603,0.503576158940397,11.32
"16",">251","backpack_3","Saturation hue","Total saturation",48,0.790286975717439,0.209713024282561,0.48953642384106,0.51046357615894,11.32
"17","<60","baseball-bat_0","Saturation hue","Total saturation",51,0.680414948131484,0.319585051868516,0.506936632920885,0.493063367079115,8
"18","61-160","baseball-bat_1","Saturation hue","Total saturation",54,0.74615873015873,0.25384126984127,0.417269841269841,0.582730158730159,7.88
"19","161-250","baseball-bat_2","Saturation hue","Total saturation",57,0.789548387096774,0.210451612903226,0.492645161290323,0.507354838709677,7.75
"20",">251","baseball-bat_3","Saturation hue","Total saturation",60,0.771555555555556,0.228444444444444,0.483555555555556,0.516444444444444,7.88
"21","<60","baseball-glove_0","Saturation hue","Total saturation",63,0.735337378194521,0.264662621805479,0.606177606177606,0.393822393822394,10.88
"22","61-160","baseball-glove_1","Saturation hue","Total saturation",66,0.823221180364037,0.176778819635962,0.407152050009193,0.592847949990807,10.88
"23","161-250","baseball-glove_2","Saturation hue","Total saturation",69,0.849687820333613,0.150312179666387,0.413847730873171,0.586152269126829,10.73
"24",">251","baseball-glove_3","Saturation hue","Total saturation",72,0.83811362382791,0.16188637617209,0.406968192682478,0.593031807317522,10.88
"25","<60","basketball-hoop_0","Saturation hue","Total saturation",75,0.787394957983193,0.212605042016807,0.481232492997199,0.518767507002801,3.57
"26","61-160","basketball-hoop_1","Saturation hue","Total saturation",78,0.81624649859944,0.18375350140056,0.450980392156863,0.549019607843137,3.57
"27","161-250","basketball-hoop_2","Saturation hue","Total saturation",81,0.825210084033613,0.174789915966387,0.555742296918768,0.444257703081232,3.57
"28",">251","basketball-hoop_3","Saturation hue","Total saturation",84,0.747899159663866,0.252100840336134,0.428011204481793,0.571988795518207,3.57
"29","<60","bat_0","Saturation hue","Total saturation",87,0.755860805860806,0.244139194139194,0.531318681318681,0.468681318681319,5.46
"30","61-160","bat_1","Saturation hue","Total saturation",90,0.862584017923824,0.137415982076176,0.51101568334578,0.48898431665422,5.36
"31","161-250","bat_2","Saturation hue","Total saturation",93,0.844089091947459,0.155910908052541,0.448505615838568,0.551494384161432,5.25
"32",">251","bat_3","Saturation hue","Total saturation",96,0.829723674383869,0.170276325616131,0.432785660941001,0.567214339058999,5.36
"33","<60","bathtub_0","Saturation hue","Total saturation",99,0.798519081070818,0.201480918929182,0.617201442946649,0.382798557053351,26.34
"34","61-160","bathtub_1","Saturation hue","Total saturation",102,0.852925264703609,0.147074735296391,0.440026277146611,0.559973722853389,25.88
"35","161-250","bathtub_2","Saturation hue","Total saturation",105,0.841527866752082,0.158472133247918,0.404628443305573,0.595371556694427,24.98
"36",">251","bathtub_3","Saturation hue","Total saturation",108,0.848732092239332,0.151267907760668,0.445146709568682,0.554853290431318,26.11
"37","<60","bear_0","Saturation hue","Total saturation",111,0.683762376237624,0.316237623762376,0.474653465346535,0.525346534653465,5.05
"38","61-160","bear_1","Saturation hue","Total saturation",114,0.807920792079208,0.192079207920792,0.549108910891089,0.450891089108911,5.05
"39","161-250","bear_2","Saturation hue","Total saturation",117,0.838283828382838,0.161716171617162,0.446709376820035,0.553290623179965,5.15
"40",">251","bear_3","Saturation hue","Total saturation",120,0.817511162880994,0.182488837119006,0.519122500485343,0.480877499514657,5.15
"41","<60","beer-mug_0","Saturation hue","Total saturation",123,0.79933110367893,0.20066889632107,0.533205924510272,0.466794075489728,4.19
"42","61-160","beer-mug_1","Saturation hue","Total saturation",126,0.816849816849817,0.183150183150183,0.372405372405372,0.627594627594628,4.09
"43","161-250","beer-mug_2","Saturation hue","Total saturation",129,0.844444444444444,0.155555555555556,0.46916354556804,0.53083645443196,4
"44",">251","beer-mug_3","Saturation hue","Total saturation",132,0.82468443197756,0.17531556802244,0.453015427769986,0.546984572230014,4.28
"45","<60","billiards_0","Saturation hue","Total saturation",135,0.745526322624211,0.254473677375789,0.541074721450277,0.458925278549723,38.5
"46","61-160","billiards_1","Saturation hue","Total saturation",138,0.820429576916084,0.179570423083916,0.462898994883516,0.537101005116484,38.5
"47","161-250","billiards_2","Saturation hue","Total saturation",141,0.842934128603568,0.157065871396432,0.474598440851776,0.525401559148224,38.23
"48",">251","billiards_3","Saturation hue","Total saturation",144,0.83848011843233,0.16151988156767,0.471703503623094,0.528296496376906,38.5
"49","<60","binoculars_0","Saturation hue","Total saturation",147,0.853316106804479,0.146683893195521,0.500430663221361,0.499569336778639,23.22
"50","61-160","binoculars_1","Saturation hue","Total saturation",150,0.817226528854436,0.182773471145564,0.469422911283376,0.530577088716624,23.22
"51","161-250","binoculars_2","Saturation hue","Total saturation",153,0.815127146272549,0.184872853727451,0.528624212127798,0.471375787872202,23
"52",">251","binoculars_3","Saturation hue","Total saturation",156,0.811929371231697,0.188070628768303,0.414814814814815,0.585185185185185,23.22
"53","<60","birdbath_0","Saturation hue","Total saturation",159,0.753865979381443,0.246134020618557,0.524054982817869,0.475945017182131,4.66
"54","61-160","birdbath_1","Saturation hue","Total saturation",162,0.782431271477663,0.217568728522337,0.53393470790378,0.46606529209622,4.66
"55","161-250","birdbath_2","Saturation hue","Total saturation",165,0.842324561403509,0.157675438596491,0.468201754385965,0.531798245614035,4.56
"56",">251","birdbath_3","Saturation hue","Total saturation",168,0.824742268041237,0.175257731958763,0.483676975945017,0.516323024054983,4.66
"57","<60","blimp_0","Saturation hue","Total saturation",171,0.811204481792717,0.188795518207283,0.474789915966387,0.525210084033613,3.57
"58","61-160","blimp_1","Saturation hue","Total saturation",174,0.800344234079174,0.199655765920826,0.358864027538726,0.641135972461274,3.49
"59","161-250","blimp_2","Saturation hue","Total saturation",177,0.838655462184874,0.161344537815126,0.582072829131653,0.417927170868347,3.57
"60",">251","blimp_3","Saturation hue","Total saturation",180,0.802521008403361,0.197478991596639,0.40672268907563,0.59327731092437,3.57
"61","<60","bonsai-101_0","Saturation hue","Total saturation",183,0.847175179514971,0.152824820485029,0.556428668202141,0.443571331797859,7.38
"62","61-160","bonsai-101_1","Saturation hue","Total saturation",186,0.790678769814388,0.209321230185612,0.424468229237231,0.575531770762769,7.38
"63","161-250","bonsai-101_2","Saturation hue","Total saturation",189,0.923088455772114,0.0769115442278861,0.46431784107946,0.53568215892054,6.67
"64",">251","bonsai-101_3","Saturation hue","Total saturation",192,0.913498622589532,0.0865013774104683,0.526446280991736,0.473553719008264,7.26
"65","<60","boom-box_0","Saturation hue","Total saturation",195,0.816729088639201,0.183270911360799,0.562546816479401,0.437453183520599,4
"66","61-160","boom-box_1","Saturation hue","Total saturation",198,0.731135531135531,0.268864468864469,0.416605616605617,0.583394383394383,4.09
"67","161-250","boom-box_2","Saturation hue","Total saturation",201,0.673015873015873,0.326984126984127,0.428815628815629,0.571184371184371,4.09
"68",">251","boom-box_3","Saturation hue","Total saturation",204,0.788766788766789,0.211233211233211,0.552380952380952,0.447619047619048,4.09
"69","<60","bowling-ball_0","Saturation hue","Total saturation",207,0.815533980582524,0.184466019417476,0.561393489434609,0.438606510565391,5.25
"70","61-160","bowling-ball_1","Saturation hue","Total saturation",210,0.829353523587653,0.170646476412347,0.429237041351194,0.570762958648806,5.15
"71","161-250","bowling-ball_2","Saturation hue","Total saturation",213,0.819150961355416,0.180849038644584,0.436322101656196,0.563677898343804,5.25
"72",">251","bowling-ball_3","Saturation hue","Total saturation",216,0.819150961355416,0.180849038644584,0.51284980011422,0.48715019988578,5.25
"73","<60","bowling-pin_0","Saturation hue","Total saturation",219,0.765940594059406,0.234059405940594,0.537425742574257,0.462574257425743,5.05
"74","61-160","bowling-pin_1","Saturation hue","Total saturation",222,0.765252525252525,0.234747474747475,0.426464646464646,0.573535353535354,4.95
"75","161-250","bowling-pin_2","Saturation hue","Total saturation",225,0.778787878787879,0.221212121212121,0.508282828282828,0.491717171717172,4.95
"76",">251","bowling-pin_3","Saturation hue","Total saturation",228,0.639393939393939,0.360606060606061,0.397575757575758,0.602424242424242,4.95
"77","<60","boxing-glove_0","Saturation hue","Total saturation",231,0.794912142669814,0.205087857330186,0.492525570416995,0.507474429583005,7.63
"78","61-160","boxing-glove_1","Saturation hue","Total saturation",234,0.839365329137162,0.160634670862838,0.414765276685025,0.585234723314975,7.63
"79","161-250","boxing-glove_2","Saturation hue","Total saturation",237,0.872584299613488,0.127415700386512,0.491270158603225,0.508729841396775,7.5
"80",">251","boxing-glove_3","Saturation hue","Total saturation",240,0.814074370251899,0.185925629748101,0.485272557643609,0.514727442356391,7.5
"81","<60","brain-101_0","Saturation hue","Total saturation",243,0.800595238095238,0.199404761904762,0.514880952380952,0.485119047619048,2.02
"82","61-160","brain-101_1","Saturation hue","Total saturation",246,0.870967741935484,0.129032258064516,0.477214541730671,0.522785458269329,1.95
"83","161-250","brain-101_2","Saturation hue","Total saturation",249,0.857218402961396,0.142781597038604,0.478582760444209,0.521417239555791,1.89
"84",">251","brain-101_3","Saturation hue","Total saturation",252,0.850620347394541,0.149379652605459,0.429563492063492,0.570436507936508,2.02
"85","<60","breadmaker_0","Saturation hue","Total saturation",255,0.801215805471125,0.198784194528875,0.601621073961499,0.398378926038501,9.87
"86","61-160","breadmaker_1","Saturation hue","Total saturation",258,0.740804539467018,0.259195460532982,0.396149949341439,0.603850050658561,9.87
"87","161-250","breadmaker_2","Saturation hue","Total saturation",261,0.782978723404255,0.217021276595745,0.41854103343465,0.58145896656535,9.87
"88",">251","breadmaker_3","Saturation hue","Total saturation",264,0.747482014388489,0.252517985611511,0.442857142857143,0.557142857142857,9.73
"89","<60","buddha-101_0","Saturation hue","Total saturation",267,0.779503105590062,0.220496894409938,0.56450071667463,0.43549928332537,4.19
"90","61-160","buddha-101_1","Saturation hue","Total saturation",270,0.910622710622711,0.0893772893772894,0.419291819291819,0.580708180708181,4.09
"91","161-250","buddha-101_2","Saturation hue","Total saturation",273,0.906976744186046,0.0930232558139535,0.419151846785226,0.580848153214774,3.65
"92",">251","buddha-101_3","Saturation hue","Total saturation",276,0.898656898656899,0.101343101343101,0.496703296703297,0.503296703296703,4.09
"93","<60","bulldozer_0","Saturation hue","Total saturation",279,0.594094094094094,0.405905905905906,0.452452452452452,0.547547547547548,5.99
"94","61-160","bulldozer_1","Saturation hue","Total saturation",282,0.817984651317985,0.182015348682015,0.531197864531198,0.468802135468802,5.99
"95","161-250","bulldozer_2","Saturation hue","Total saturation",285,0.782282282282282,0.217717717717718,0.538204871538205,0.461795128461795,5.99
"96",">251","bulldozer_3","Saturation hue","Total saturation",288,0.787787787787788,0.212212212212212,0.485485485485485,0.514514514514514,5.99
"97","<60","butterfly_0","Saturation hue","Total saturation",291,0.704954954954955,0.295045045045045,0.481821106821107,0.518178893178893,6.22
"98","61-160","butterfly_1","Saturation hue","Total saturation",294,0.772361647361647,0.227638352638353,0.534749034749035,0.465250965250965,6.22
"99","161-250","butterfly_2","Saturation hue","Total saturation",297,0.851376146788991,0.148623853211009,0.416180150125104,0.583819849874896,6
"100",">251","butterfly_3","Saturation hue","Total saturation",300,0.846027846027846,0.153972153972154,0.492383292383292,0.507616707616708,6.11
"101","<60","cactus_0","Saturation hue","Total saturation",303,0.728613569321534,0.271386430678466,0.47725508461419,0.52274491538581,6.44
"102","61-160","cactus_1","Saturation hue","Total saturation",306,0.779537338922528,0.220462661077472,0.503027480204937,0.496972519795063,6.44
"103","161-250","cactus_2","Saturation hue","Total saturation",309,0.892874692874693,0.107125307125307,0.483701883701884,0.516298116298116,6.11
"104",">251","cactus_3","Saturation hue","Total saturation",312,0.87468394437421,0.12531605562579,0.512484197218711,0.48751580278129,6.33
"105","<60","cake_0","Saturation hue","Total saturation",315,0.704761904761905,0.295238095238095,0.550584007187781,0.449415992812219,5.57
"106","61-160","cake_1","Saturation hue","Total saturation",318,0.808265947888589,0.191734052111411,0.502605570530099,0.497394429469901,5.57
"107","161-250","cake_2","Saturation hue","Total saturation",321,0.806410256410256,0.193589743589744,0.474542124542125,0.525457875457875,5.46
"108",">251","cake_3","Saturation hue","Total saturation",324,0.796765498652291,0.203234501347709,0.46648697214735,0.533513027852651,5.57
"109","<60","calculator_0","Saturation hue","Total saturation",327,0.826060606060606,0.173939393939394,0.559393939393939,0.440606060606061,4.95
"110","61-160","calculator_1","Saturation hue","Total saturation",330,0.783232323232323,0.216767676767677,0.378787878787879,0.621212121212121,4.95
"111","161-250","calculator_2","Saturation hue","Total saturation",333,0.777171717171717,0.222828282828283,0.506262626262626,0.493737373737374,4.95
"112",">251","calculator_3","Saturation hue","Total saturation",336,0.769292929292929,0.230707070707071,0.435353535353535,0.564646464646465,4.95
"113","<60","camel_0","Saturation hue","Total saturation",339,0.604361370716511,0.395638629283489,0.474385600553825,0.525614399446175,5.78
"114","61-160","camel_1","Saturation hue","Total saturation",342,0.843025268258913,0.156974731741087,0.514710972654898,0.485289027345102,5.78
"115","161-250","camel_2","Saturation hue","Total saturation",345,0.843237524246165,0.156762475753835,0.514018691588785,0.485981308411215,5.67
"116",">251","camel_3","Saturation hue","Total saturation",348,0.776582613295715,0.223417386704285,0.403632516311056,0.596367483688944,5.67
"117","<60","cannon_0","Saturation hue","Total saturation",351,0.735960403578907,0.264039596421093,0.51722825052351,0.48277174947649,5.25
"118","61-160","cannon_1","Saturation hue","Total saturation",354,0.782219683990101,0.217780316009899,0.50447363411384,0.49552636588616,5.25
"119","161-250","cannon_2","Saturation hue","Total saturation",357,0.783361888444698,0.216638111555302,0.498381877022654,0.501618122977346,5.25
"120",">251","cannon_3","Saturation hue","Total saturation",360,0.784313725490196,0.215686274509804,0.430801446792309,0.569198553207691,5.25
"121","<60","canoe_0","Saturation hue","Total saturation",363,0.701223063482819,0.298776936517181,0.469229275868763,0.530770724131237,5.15
"122","61-160","canoe_1","Saturation hue","Total saturation",366,0.849932052028732,0.150067947971268,0.506115317414094,0.493884682585906,5.15
"123","161-250","canoe_2","Saturation hue","Total saturation",369,0.828771112405358,0.171228887594642,0.506503591535624,0.493496408464376,5.15
"124",">251","canoe_3","Saturation hue","Total saturation",372,0.853038245000971,0.146961754999029,0.550184430207727,0.449815569792273,5.15
"125","<60","car-side-101_0","Saturation hue","Total saturation",375,NA,NA,NA,NA,0
"126","61-160","car-side-101_1","Saturation hue","Total saturation",378,NA,NA,NA,NA,0
"127","161-250","car-side-101_2","Saturation hue","Total saturation",381,NA,NA,NA,NA,0
"128",">251","car-side-101_3","Saturation hue","Total saturation",384,NA,NA,NA,NA,0
"129","<60","car-tire_0","Saturation hue","Total saturation",387,0.854851643945469,0.145148356054531,0.624431970061481,0.375568029938519,3.74
"130","61-160","car-tire_1","Saturation hue","Total saturation",390,0.809038662486938,0.190961337513062,0.484326018808777,0.515673981191223,3.83
"131","161-250","car-tire_2","Saturation hue","Total saturation",393,0.74514811031665,0.25485188968335,0.401174668028601,0.598825331971399,3.92
"132",">251","car-tire_3","Saturation hue","Total saturation",396,0.776046986721144,0.223953013278856,0.407303370786517,0.592696629213483,3.92
"133","<60","cartman_0","Saturation hue","Total saturation",399,0.656848306332842,0.343151693667158,0.479907426888281,0.520092573111719,4.75
"134","61-160","cartman_1","Saturation hue","Total saturation",402,0.76709446665264,0.23290553334736,0.439722280664843,0.560277719335157,4.75
"135","161-250","cartman_2","Saturation hue","Total saturation",405,0.75699558173785,0.24300441826215,0.55165158847044,0.44834841152956,4.75
"136",">251","cartman_3","Saturation hue","Total saturation",408,0.761413843888071,0.238586156111929,0.493162213338944,0.506837786661056,4.75
"137","<60","cd_0","Saturation hue","Total saturation",411,0.842166569598136,0.157833430401864,0.544942729567074,0.455057270432926,5.15
"138","61-160","cd_1","Saturation hue","Total saturation",414,0.806057076295865,0.193942923704135,0.469229275868763,0.530770724131237,5.15
"139","161-250","cd_2","Saturation hue","Total saturation",417,0.798291593865269,0.201708406134731,0.489419530188313,0.510580469811687,5.15
"140",">251","cd_3","Saturation hue","Total saturation",420,0.799223300970874,0.200776699029126,0.424383614832071,0.575616385167929,5.15
"141","<60","centipede_0","Saturation hue","Total saturation",423,0.688617715127288,0.311382284872712,0.56259204712813,0.43740795287187,4.75
"142","61-160","centipede_1","Saturation hue","Total saturation",426,0.81359649122807,0.18640350877193,0.449342105263158,0.550657894736842,4.56
"143","161-250","centipede_2","Saturation hue","Total saturation",429,0.85236502627807,0.14763497372193,0.423554706163402,0.576445293836598,4.19
"144",">251","centipede_3","Saturation hue","Total saturation",432,0.793599656357388,0.206400343642612,0.449527491408935,0.550472508591065,4.66
"145","<60","cereal-box_0","Saturation hue","Total saturation",435,0.697941726811013,0.302058273188987,0.517508687516707,0.482491312483293,3.74
"146","61-160","cereal-box_1","Saturation hue","Total saturation",438,0.796578454958567,0.203421545041433,0.519914461373964,0.480085538626036,3.74
"147","161-250","cereal-box_2","Saturation hue","Total saturation",441,0.832397754611067,0.167602245388933,0.4971932638332,0.5028067361668,3.74
"148",">251","cereal-box_3","Saturation hue","Total saturation",444,0.773322641005079,0.226677358994921,0.483827853515103,0.516172146484897,3.74
"149","<60","chandelier-101_0","Saturation hue","Total saturation",447,0.781740104555639,0.218259895444361,0.549477221807319,0.450522778192681,5.36
"150","61-160","chandelier-101_1","Saturation hue","Total saturation",450,0.895798319327731,0.104201680672269,0.40832710978342,0.59167289021658,5.36
"151","161-250","chandelier-101_2","Saturation hue","Total saturation",453,0.932972367438387,0.0670276325616131,0.438760268857356,0.561239731142644,5.36
"152",">251","chandelier-101_3","Saturation hue","Total saturation",456,0.909260642270351,0.090739357729649,0.486183719193428,0.513816280806572,5.36
"153","<60","chess-board_0","Saturation hue","Total saturation",459,0.649579831932773,0.350420168067227,0.481512605042017,0.518487394957983,7.14
"154","61-160","chess-board_1","Saturation hue","Total saturation",462,0.823109243697479,0.176890756302521,0.465266106442577,0.534733893557423,7.14
"155","161-250","chess-board_2","Saturation hue","Total saturation",465,0.874447391688771,0.125552608311229,0.547155909224875,0.452844090775125,6.79
"156",">251","chess-board_3","Saturation hue","Total saturation",468,0.819788497754599,0.180211502245401,0.517311313921483,0.482688686078517,6.9
"157","<60","chimp_0","Saturation hue","Total saturation",471,0.768433571185865,0.231566428814135,0.521746517159361,0.478253482840639,5.89
"158","61-160","chimp_1","Saturation hue","Total saturation",474,0.805122879889235,0.194877120110765,0.539286950501904,0.460713049498096,5.78
"159","161-250","chimp_2","Saturation hue","Total saturation",477,0.81429560401523,0.18570439598477,0.433194877120111,0.566805122879889,5.78
"160",">251","chimp_3","Saturation hue","Total saturation",480,0.807849133537207,0.192150866462793,0.428644240570846,0.571355759429154,5.89
"161","<60","chopsticks_0","Saturation hue","Total saturation",483,0.661344537815126,0.338655462184874,0.487114845938375,0.512885154061625,3.57
"162","61-160","chopsticks_1","Saturation hue","Total saturation",486,0.799719887955182,0.200280112044818,0.440616246498599,0.559383753501401,3.57
"163","161-250","chopsticks_2","Saturation hue","Total saturation",489,0.841652323580034,0.158347676419966,0.479919678714859,0.520080321285141,3.49
"164",">251","chopsticks_3","Saturation hue","Total saturation",492,0.836974789915966,0.163025210084034,0.513725490196078,0.486274509803922,3.57
"165","<60","clutter_0","Saturation hue","Total saturation",495,0.798796827188735,0.2012002020142,0.527426398502718,0.472570630700217,336.61
"166","61-160","clutter_1","Saturation hue","Total saturation",498,0.833927597139276,0.166072402860724,0.483988840260001,0.516011159739999,339.08
"167","161-250","clutter_2","Saturation hue","Total saturation",501,0.88277269082538,0.11722730917462,0.450436643807935,0.549563356192065,309.29
"168",">251","clutter_3","Saturation hue","Total saturation",504,0.887144690995782,0.112855309004218,0.515622238893057,0.484377761106943,299.93
"169","<60","cockroach_0","Saturation hue","Total saturation",507,0.717647058823529,0.282352941176471,0.538935574229692,0.461064425770308,7.14
"170","61-160","cockroach_1","Saturation hue","Total saturation",510,0.844125742430827,0.155874257569173,0.398232652469941,0.601767347530059,6.9
"171","161-250","cockroach_2","Saturation hue","Total saturation",513,0.861327231121282,0.138672768878719,0.43813882532418,0.56186117467582,6.55
