"","HSV hue","Img. cat.","Num","Den","Ref.","RL|NL","RL|NS","RL|DL","RL|DS","n (x1000)"
"1","<60","Bondone_0","Pixels hue","Total pixels",2,0.802449793476713,0.197550206523287,0.383802313955149,0.616197686044851,7.02
"2","61-160","Bondone_1","Pixels hue","Total pixels",5,0.974789915966387,0.0252100840336134,0.589487216111984,0.410512783888016,7.02
"3","161-250","Bondone_2","Pixels hue","Total pixels",8,0.981768978777952,0.0182310212220481,0.614912155406371,0.385087844593629,7.02
"4",">251","Bondone_3","Pixels hue","Total pixels",11,0.967236467236467,0.0327635327635328,0.515212112555349,0.484787887444651,7.02
"5","<60","Bosch_0","Pixels hue","Total pixels",14,0.510519536281666,0.489480463718334,0.394232838390359,0.605767161609641,9.32
"6","61-160","Bosch_1","Pixels hue","Total pixels",17,0.854014598540146,0.145985401459854,0.565526145900581,0.434473854099419,9.32
"7","161-250","Bosch_2","Pixels hue","Total pixels",20,0.891534692947476,0.108465307052524,0.554933759707629,0.445066240292371,8.78
"8",">251","Bosch_3","Pixels hue","Total pixels",23,0.873742399115533,0.126257600884467,0.575529203147512,0.424470796852488,9.04
"9","<60","Botticelli_0","Pixels hue","Total pixels",26,0.641253927876702,0.358746072123298,0.484730538922156,0.515269461077844,13.37
"10","61-160","Botticelli_1","Pixels hue","Total pixels",29,0.88006883136316,0.11993116863684,0.502170658682635,0.497829341317365,13.37
"11","161-250","Botticelli_2","Pixels hue","Total pixels",32,0.887601302734227,0.112398697265773,0.506933393953171,0.493066606046829,13.2
"12",">251","Botticelli_3","Pixels hue","Total pixels",35,0.898847822834057,0.101152177165943,0.471032934131736,0.528967065868263,13.37
"13","<60","Bruegel_0","Pixels hue","Total pixels",38,0.861631691168219,0.138031646279879,0.482287906137184,0.517373646209386,8.91
"14","61-160","Bruegel_1","Pixels hue","Total pixels",41,0.96386404293381,0.0361359570661896,0.52554569441113,0.47445430558887,8.38
"15","161-250","Bruegel_2","Pixels hue","Total pixels",44,0.973166368515206,0.0268336314847943,0.517510194291197,0.482489805708803,8.38
"16",">251","Bruegel_3","Pixels hue","Total pixels",47,0.974633000587199,0.0253669994128009,0.472602739726027,0.527397260273972,8.52
"17","<60","Caravaggio_0","Pixels hue","Total pixels",50,0.75959595959596,0.24040404040404,0.617508417508418,0.382491582491582,1.49
"18","61-160","Caravaggio_1","Pixels hue","Total pixels",53,0.865319865319865,0.134680134680135,0.329292929292929,0.670707070707071,1.49
"19","161-250","Caravaggio_2","Pixels hue","Total pixels",56,0.902356902356902,0.0976430976430976,0.32996632996633,0.67003367003367,1.49
"20",">251","Caravaggio_3","Pixels hue","Total pixels",59,0.820875420875421,0.179124579124579,0.583838383838384,0.416161616161616,1.49
"21","<60","Cezanne_0","Pixels hue","Total pixels",62,0.806660499537465,0.193339500462535,0.460684551341351,0.539315448658649,1.08
"22","61-160","Cezanne_1","Pixels hue","Total pixels",65,0.901942645698427,0.0980573543015726,0.598519888991674,0.401480111008326,1.08
"23","161-250","Cezanne_2","Pixels hue","Total pixels",68,0.933395004625347,0.0666049953746531,0.552266419981499,0.447733580018501,1.08
"24",">251","Cezanne_3","Pixels hue","Total pixels",71,0.924144310823312,0.0758556891766883,0.44218316373728,0.55781683626272,1.08
"25","<60","Chagall_0","Pixels hue","Total pixels",74,0.903273443268521,0.096621075208326,0.527964452278653,0.471925379163454,28.44
"26","61-160","Chagall_1","Pixels hue","Total pixels",77,0.925060406073064,0.0749395939269357,0.471191553544495,0.528808446455505,27.73
"27","161-250","Chagall_2","Pixels hue","Total pixels",80,0.963861168183152,0.0361388318168477,0.482728179933983,0.517271820066017,27.26
"28",">251","Chagall_3","Pixels hue","Total pixels",83,0.948359177785792,0.0516408222142084,0.492911010558069,0.507088989441931,27.73
"29","<60","Courbet_0","Pixels hue","Total pixels",86,0.767387492694331,0.232612507305669,0.461943793911007,0.538056206088993,1.71
"30","61-160","Courbet_1","Pixels hue","Total pixels",89,0.939216832261835,0.0607831677381648,0.431498829039813,0.568501170960187,1.71
"31","161-250","Courbet_2","Pixels hue","Total pixels",92,0.963636363636364,0.0363636363636364,0.505530253741054,0.494469746258946,1.54
