"","HSV hue","Img. cat.","Num","Den","Ref.","RL|NL","RL|NS","RL|DL","RL|DS","n (x1000)"
"1","<60","Bondone_0","Saturation hue","Total saturation",3,0.734938043013816,0.265061956986184,0.60774818401937,0.39225181598063,7.02
"2","61-160","Bondone_1","Saturation hue","Total saturation",6,0.939467312348668,0.0605326876513317,0.449508617006124,0.550491382993876,7.02
"3","161-250","Bondone_2","Saturation hue","Total saturation",9,0.950434411052557,0.0495655889474434,0.418174049280729,0.581825950719271,7.02
"4",">251","Bondone_3","Saturation hue","Total saturation",12,0.913829938755163,0.0861700612448369,0.379005839623985,0.620994160376015,7.02
"5","<60","Bosch_0","Saturation hue","Total saturation",15,0.481699346405229,0.518300653594771,0.407407407407407,0.592592592592593,9.18
"6","61-160","Bosch_1","Saturation hue","Total saturation",18,0.87601975096608,0.12398024903392,0.578037784456848,0.421962215543152,9.32
"7","161-250","Bosch_2","Saturation hue","Total saturation",21,0.900774663932559,0.0992253360674413,0.543517885623149,0.456482114376851,8.78
"8",">251","Bosch_3","Saturation hue","Total saturation",24,0.881592039800995,0.118407960199005,0.533112216694306,0.466887783305694,9.04
"9","<60","Botticelli_0","Saturation hue","Total saturation",27,0.64836151428999,0.35163848571001,0.524689510698788,0.475310489301212,13.37
"10","61-160","Botticelli_1","Saturation hue","Total saturation",30,0.872736794852611,0.127263205147389,0.464013167739039,0.535986832260961,13.37
"11","161-250","Botticelli_2","Saturation hue","Total saturation",33,0.889949253957434,0.110050746042566,0.45398773006135,0.54601226993865,13.2
"12",">251","Botticelli_3","Saturation hue","Total saturation",36,0.89712703875505,0.10287296124495,0.493341313781236,0.506658686218764,13.37
"13","<60","Bruegel_0","Saturation hue","Total saturation",39,0.797064004697593,0.202935995302408,0.71556077510276,0.28443922489724,8.52
"14","61-160","Bruegel_1","Saturation hue","Total saturation",42,0.825044722719141,0.174955277280859,0.424448419797257,0.575551580202743,8.38
"15","161-250","Bruegel_2","Saturation hue","Total saturation",45,0.855575432319618,0.144424567680382,0.36350626118068,0.63649373881932,8.38
"16",">251","Bruegel_3","Saturation hue","Total saturation",48,0.812566059894304,0.187433940105696,0.287022900763359,0.712977099236641,8.52
"17","<60","Caravaggio_0","Saturation hue","Total saturation",51,0.751515151515151,0.248484848484848,0.643771043771044,0.356228956228956,1.49
"18","61-160","Caravaggio_1","Saturation hue","Total saturation",54,0.877441077441077,0.122558922558923,0.315151515151515,0.684848484848485,1.49
"19","161-250","Caravaggio_2","Saturation hue","Total saturation",57,0.914478114478114,0.0855218855218855,0.317171717171717,0.682828282828283,1.49
"20",">251","Caravaggio_3","Saturation hue","Total saturation",60,0.809427609427609,0.190572390572391,0.495622895622896,0.504377104377104,1.49
"21","<60","Cezanne_0","Saturation hue","Total saturation",63,0.817761332099908,0.182238667900092,0.598519888991674,0.401480111008326,1.08
"22","61-160","Cezanne_1","Saturation hue","Total saturation",66,0.876965772432932,0.123034227567068,0.463459759481961,0.536540240518039,1.08
"23","161-250","Cezanne_2","Saturation hue","Total saturation",69,0.938020351526364,0.0619796484736355,0.437557816836263,0.562442183163737,1.08
"24",">251","Cezanne_3","Saturation hue","Total saturation",72,0.919518963922294,0.0804810360777058,0.395004625346901,0.604995374653099,1.08
"25","<60","Chagall_0","Saturation hue","Total saturation",75,0.821492967904796,0.178507032095204,0.579444644789037,0.420555355210963,27.73
"26","61-160","Chagall_1","Saturation hue","Total saturation",78,0.720988099531194,0.279011900468806,0.396934727731699,0.603065272268302,27.73
"27","161-250","Chagall_2","Saturation hue","Total saturation",81,0.894978173948131,0.105021826051869,0.650526393015663,0.349473606984337,27.26
"28",">251","Chagall_3","Saturation hue","Total saturation",84,0.782906599350883,0.217093400649116,0.299675441759827,0.700324558240173,27.73
"29","<60","Courbet_0","Saturation hue","Total saturation",87,0.741087083576856,0.258912916423144,0.589129164231444,0.410870835768556,1.71
"30","61-160","Courbet_1","Saturation hue","Total saturation",90,0.926943308007013,0.0730566919929866,0.36937463471654,0.63062536528346,1.71
"31","161-250","Courbet_2","Saturation hue","Total saturation",93,0.911038961038961,0.088961038961039,0.359090909090909,0.640909090909091,1.54
